,Внешний код,Факт. департамент,Факт. подразделение,Факт. группа,Факт. должность,Является РМ/ТЛ,Стаж фактический по компании,Пол,Возраст,Итого бобров,Recency,Frequency,Monetary
2632,SU198631,Департамент инфраструктурных решений и сервисов,группа инженеров по инфраструктурному ПО,,Системный инженер,нет,"0 г., 6 мес.,14 дн.",Мужской,30,580,-21.0,10.0,0.0
2633,SU80742,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа разработки облака,Ведущий инженер-разработчик,нет,"9 г., 3 мес.,19 дн.",Мужской,31,200,131.0,1.0,0.0
2634,SU1367,Департамент разработки программного обеспечения,Государственные информационные системы,росстат. группа технических менеджеров,Технический менеджер,нет,"16 г., 5 мес.,1 дн.",Женский,36,1560,-49.0,8.0,10260.0
2635,SU131049,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа разработки облака,Старший инженер-разработчик,нет,"5 г., 0 мес.,10 дн.",Мужской,29,205,,2.0,50.0
2636,SU197601,Департамент разработки программного обеспечения,"Практика ""Аппаратные решения""",,Руководитель направления,ТЛ,"1 г., 0 мес.,28 дн.",Мужской,47,1940,221.0,7.0,2230.0
2637,SU199854,Административно-эксплуатационный департамент,,,Руководитель отдела,нет,"0 г., 1 мес.,6 дн.",Женский,48,300,,2.0,0.0
2638,SU196545,Химкинское обособленное подразделение,,,Техник,нет,"1 г., 5 мес.,23 дн.",Женский,49,0,,0.0,0.0
2639,SU199204,Департамент инфраструктурных решений и сервисов,Информационная безопасность,Центр мониторинга безопасности,Старший системный инженер,нет,"0 г., 3 мес.,23 дн.",Мужской,33,1240,7.0,20.0,425.0
2640,SU118317,Департамент разработки программного обеспечения,Продуктовый офис,,Менеджер по продвижению решений,нет,"5 г., 4 мес.,15 дн.",Мужской,33,680,-54.0,47.0,7250.0
2641,SU135450,Департамент телекоммуникаций,,группа технических менеджеров,Технический менеджер,нет,"4 г., 10 мес.,16 дн.",Мужской,36,1065,-54.0,32.0,12545.0
2642,SU161126,Департамент телекоммуникаций,Сервис,группа технической поддержки телефонии и Call-центров,Системный инженер,нет,"3 г., 6 мес.,13 дн.",Мужской,52,3190,-54.0,203.0,11000.0
2643,SU43994,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа тестировщиков,Ведущий инженер-тестировщик,нет,"13 г., 5 мес.,26 дн.",Женский,48,2345,-48.0,31.0,4000.0
2644,SU69215,Департамент инфраструктурных решений и сервисов,группа инженеров по ИТ-инфраструктуре и мониторингу,,Системный инженер,нет,"11 г., 0 мес.,23 дн.",Мужской,33,1800,-21.0,33.0,0.0
2645,SU189132,Департамент бизнес-приложений,,группа консультантов по финансам,Ведущий консультант по внедрению бизнес-приложений,нет,"0 г., 8 мес.,24 дн.",Мужской,51,1575,-21.0,31.0,350.0
2646,SU800,Финансовый департамент,,группа финансовых партнеров,Финансовый партнёр,нет,"20 г., 5 мес.,20 дн.",Женский,46,1285,-54.0,187.0,3880.0
2647,SU119469,Департамент телекоммуникаций,,Группа поддержки продаж сетевых решений,Менеджер по продвижению решений,нет,"5 г., 4 мес.,6 дн.",Мужской,39,200,,1.0,4450.0
2648,SU184272,Департамент разработки программного обеспечения,"Практика ""Time and Material""",группа аналитиков,Старший системный аналитик,нет,"2 г., 8 мес.,11 дн.",Мужской,31,1550,-48.0,18.0,0.0
2649,SU1963,Служба охраны,,Группа обеспечения контрольно-пропускного режима,Охранник,нет,"30 г., 11 мес.,12 дн.",Мужской,68,0,,0.0,0.0
2650,SU197455,Департамент инфраструктурных решений и сервисов,группа инженеров по вычислительной инфраструктуре,,Младший инженер,нет,"1 г., 1 мес.,19 дн.",Мужской,21,550,37.0,6.0,0.0
2651,SU128619,Департамент инфраструктурных решений и сервисов,группа технических менеджеров по вычислительной инфраструктуре,,Младший технический менеджер,нет,"5 г., 1 мес.,9 дн.",Мужской,26,3245,-53.0,90.0,5200.0
2652,SU922,Департамент инженерных и мультимедийных систем,группа управления сервисными проектами,,Сервис-менеджер,нет,"16 г., 1 мес.,3 дн.",Женский,38,790,-53.0,119.0,8070.0
2653,SU197883,Департамент внутренней автоматизации,,группа аналитиков 1С,Системный аналитик,нет,"0 г., 10 мес.,21 дн.",Женский,36,2115,-48.0,40.0,1610.0
2654,SU164606,Департамент разработки программного обеспечения,Государственные информационные системы,цифровые экосистемы. группа аналитиков и внедренцев,Ведущий аналитик,РМ,"3 г., 4 мес.,9 дн.",Женский,38,1150,67.0,10.0,650.0
2655,SU4528,Служба охраны,,Группа обеспечения контрольно-пропускного режима,Охранник,нет,"15 г., 5 мес.,24 дн.",Мужской,37,1315,-54.0,215.0,0.0
2656,SU82009,Transformation office,,,Старший консультант по трансформации бизнеса,нет,"9 г., 2 мес.,6 дн.",Женский,31,1405,-49.0,5.0,12890.0
2657,SU191024,Департамент инфраструктурных решений и сервисов,группа управления сервисными проектами,,Сервис-менеджер,нет,"2 г., 0 мес.,21 дн.",Мужской,30,4075,-53.0,84.0,8210.0
2658,SU199525,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа инженеров по защите инфраструктуры,Стажер,нет,"0 г., 2 мес.,25 дн.",Мужской,21,450,38.0,3.0,0.0
2659,SU45053,Департамент продаж и менеджмента проектов,,группа продаж,Директор по работе с корпоративными клиентами,нет,"13 г., 4 мес.,25 дн.",Мужской,35,300,,2.0,0.0
2660,SU198542,Департамент бизнес-приложений,,группа консультантов по финансам,Стажер,нет,"0 г., 6 мес.,28 дн.",Мужской,20,2050,-21.0,21.0,0.0
2661,SU816,Финансовый департамент,отдел налоговой и бухгалтерской отчетности,,Главный бухгалтер,нет,"19 г., 6 мес.,5 дн.",Женский,43,215,,2.0,3160.0
2662,SU174130,Департамент бизнес-приложений,,группа консультантов по финансам,Ведущий консультант по внедрению бизнес-приложений,нет,"3 г., 0 мес.,18 дн.",Женский,45,2310,-49.0,24.0,45.0
2663,SU169662,Департамент разработки программного обеспечения,Управление контентом и документооборот,группа внедренцев,Консультант по внедрению,нет,"3 г., 1 мес.,25 дн.",Мужской,23,2255,-48.0,25.0,1125.0
2664,SU40509,Департамент внутренней автоматизации,,группа системных администраторов,Старший инженер,нет,"14 г., 2 мес.,23 дн.",Мужской,33,850,105.0,3.0,30.0
2665,SU70100,Департамент внутренней автоматизации,,центральная служба технической поддержки,Старший инженер технической поддержки,нет,"10 г., 10 мес.,20 дн.",Мужской,29,2305,-48.0,37.0,4415.0
2666,SU134844,Департамент разработки программного обеспечения,Государственные информационные системы,росстат. группа разработчиков,Младший инженер-разработчик,нет,"4 г., 11 мес.,7 дн.",Женский,25,1045,249.0,9.0,3200.0
2667,SU196929,Департамент внутренней автоматизации,,группа разработки инфраструктурных приложений,Старший инженер-тестировщик,нет,"1 г., 3 мес.,19 дн.",Женский,35,300,75.0,2.0,15.0
2668,SU198967,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа аналитиков по информационной безопасности,Стажер,нет,"0 г., 5 мес.,5 дн.",Мужской,21,600,70.0,6.0,0.0
2669,SU184894,Департамент продаж и менеджмента проектов,,группа менеджеров по работе с корпоративными клиентами,Менеджер по работе с корпоративными клиентами,нет,"2 г., 7 мес.,11 дн.",Женский,30,880,-46.0,9.0,100.0
2670,SU196789,Департамент инфраструктурных решений и сервисов,группа технических менеджеров по программной инфраструктуре,,Технический менеджер,нет,"1 г., 4 мес.,6 дн.",Мужской,32,400,,5.0,1050.0
2671,SU104644,Отдел подготовки тендеров,,,Ведущий менеджер по работе с тендерами,нет,"6 г., 1 мес.,22 дн.",Женский,29,1740,-54.0,51.0,8660.0
2672,SU47796,Департамент телекоммуникаций,,группа сетевых решений,Ведущий инженер,нет,"12 г., 11 мес.,23 дн.",Мужской,39,1450,-53.0,8.0,11710.0
2673,SU1372,Финансовый департамент,расчетно-аналитическая группа по вопросам экономики и финансов бизнеса,,"Ведущий экономист, Тимлид расчетно-аналитической группы по вопросам экономики и финансов бизнеса",ТЛ,"18 г., 3 мес.,7 дн.",Женский,41,215,,2.0,1210.0
2674,SU39187,Департамент инфраструктурных решений и сервисов,группа поддержки продаж решений по программной инфраструктуре,,Менеджер по продвижению решений,нет,"7 г., 11 мес.,6 дн.",Мужской,37,1605,36.0,6.0,6450.0
2675,SU163926,Департамент телекоммуникаций,,группа сетевых решений,Инженер,нет,"3 г., 4 мес.,10 дн.",Женский,25,865,-48.0,7.0,5650.0
2676,SU82127,Департамент маркетинга,группа цифрового маркетинга,,Младший менеджер по партнерскому маркетингу,нет,"9 г., 1 мес.,1 дн.",Женский,32,1595,-54.0,21.0,10030.0
2677,SU196791,Департамент бизнес-приложений,,группа консультантов по технической архитектуре и разработке,Младший консультант по внедрению бизнес-приложений,нет,"1 г., 4 мес.,12 дн.",Мужской,22,1890,-48.0,43.0,4510.0
2678,SU199427,Департамент телекоммуникаций,,группа унифицированных коммуникаций,Инженер,нет,"0 г., 2 мес.,24 дн.",Мужской,47,1250,7.0,13.0,50.0
2679,SU198628,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа эксплуатации облачных сервисов,Дежурный инженер,нет,"0 г., 6 мес.,20 дн.",Мужской,26,250,,2.0,0.0
2680,SU85895,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа поддержки продаж облачных сервисов,"Старший менеджер по продвижению решений, Тимлид",ТЛ,"8 г., 7 мес.,16 дн.",Мужской,30,1745,-49.0,14.0,6530.0
2681,SU197723,Административно-эксплуатационный департамент,Отдел по эксплуатации инженерных систем,,Инженер-электрик,нет,"1 г., 0 мес.,7 дн.",Мужской,39,1705,-54.0,165.0,100.0
2682,SU1666,Департамент продаж и менеджмента проектов,,группа продаж,Директор по работе с корпоративными клиентами,нет,"19 г., 2 мес.,30 дн.",Мужской,46,300,38.0,2.0,3550.0
2683,SU199578,Департамент разработки программного обеспечения,Корпоративные информационные системы,"Практика ""Медицинские информационные системы"".группа тех.поддержки",Младший инженер технической поддержки,нет,"0 г., 2 мес.,17 дн.",Мужской,25,0,,0.0,0.0
2684,SU198486,Департамент инфраструктурных решений и сервисов,,группа SRE-инженеров,Младший инженер,нет,"0 г., 7 мес.,7 дн.",Мужской,29,485,-54.0,39.0,0.0
2685,SU176319,Департамент внутренней автоматизации,,группа консультантов,Консультант по внедрению,нет,"2 г., 11 мес.,26 дн.",Мужской,23,125,-18.0,16.0,2605.0
2686,SU42802,Служба охраны,,Группа обеспечения контрольно-пропускного режима,Охранник,нет,"13 г., 9 мес.,14 дн.",Мужской,36,200,-16.0,1.0,1500.0
2687,SU44217,Департамент инженерных и мультимедийных систем,группа сервиса,,Ведущий инженер,нет,"13 г., 5 мес.,22 дн.",Мужской,41,1525,-48.0,21.0,7550.0
2688,SU197821,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа разработки,Старший инженер-тестировщик,нет,"0 г., 11 мес.,23 дн.",Мужской,39,950,-48.0,19.0,0.0
2689,SU173162,Департамент бизнес-приложений,,Группа консультантов по автоматизации бизнес-процессов,Консультант по внедрению бизнес-приложений,нет,"3 г., 1 мес.,4 дн.",Мужской,24,2355,-48.0,20.0,8495.0
2690,SU173967,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа внедренцев,Старший консультант по внедрению,ТЛ,"3 г., 1 мес.,3 дн.",Мужской,28,3475,-52.0,45.0,17575.0
2691,SU198298,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа инженеров технической поддержки,Старший инженер технической поддержки,нет,"0 г., 8 мес.,13 дн.",Мужской,34,4330,-21.0,48.0,1255.0
2692,SU162666,Департамент продаж и менеджмента проектов,Отдел расчётов с клиентами,,Ведущий специалист по ведению документооборота,нет,"3 г., 5 мес.,29 дн.",Женский,25,1370,10.0,36.0,1360.0
2693,SU1374,Финансовый департамент,казначейство,,"Заместитель главного бухгалтера, Тимлид казначейства и отдела учета затрат для внутренних целей",ТЛ,"29 г., 0 мес.,23 дн.",Женский,55,290,37.0,19.0,2020.0
2694,SU171222,Департамент продаж и менеджмента проектов,,группа управления проектами и поддержки продаж,Менеджер проектов,нет,"3 г., 1 мес.,25 дн.",Женский,25,2050,-49.0,6.0,1725.0
2695,SU1913,Департамент разработки программного обеспечения,Государственные информационные системы,росстат. группа разработчиков,Ведущий инженер-разработчик,нет,"16 г., 11 мес.,24 дн.",Мужской,38,150,-21.0,3.0,0.0
2696,SU197606,Департамент маркетинга,группа контента,,Контент-маркетолог,нет,"1 г., 0 мес.,9 дн.",Женский,23,3075,-48.0,41.0,1775.0
2697,SU130789,Департамент разработки программного обеспечения,Государственные информационные системы,цифровые экосистемы. группа аналитиков и внедренцев,Системный аналитик,нет,"5 г., 0 мес.,2 дн.",Женский,27,2075,-21.0,33.0,8415.0
2698,SU1914,Департамент продаж и менеджмента проектов,,группа продаж,Директор по комплексным продажам,ТЛ,"21 г., 8 мес.,7 дн.",Мужской,43,200,,1.0,6300.0
2699,SU104,Департамент телекоммуникаций,Сервис,группа управления сервисными проектами,Руководитель группы,РМ,"16 г., 5 мес.,6 дн.",Женский,38,3300,-49.0,11.0,8780.0
2700,SU85989,Департамент разработки программного обеспечения,Государственные информационные системы,росстат. группа аналитиков,Руководитель группы,РМ,"8 г., 6 мес.,21 дн.",Мужской,34,1620,-49.0,35.0,10400.0
2701,SU196636,Департамент продаж и менеджмента проектов,,группа менеджеров по работе с корпоративными клиентами,Менеджер по работе с корпоративными клиентами,нет,"1 г., 5 мес.,10 дн.",Женский,31,615,-48.0,56.0,1230.0
2702,SU1689,Департамент инфраструктурных решений и сервисов,группа поддержки продаж решений по вычислительной инфраструктуре,,Старший менеджер проектов,нет,"20 г., 8 мес.,26 дн.",Мужской,41,3300,-21.0,35.0,51810.0
2703,SU196997,Департамент разработки программного обеспечения,,группа системных инженеров,Младший системный инженер,нет,"1 г., 3 мес.,14 дн.",Мужской,21,2305,-21.0,28.0,5500.0
2704,SU1915,Служба логистики,,,Менеджер,нет,"16 г., 3 мес.,30 дн.",Мужской,38,400,,2.0,3000.0
2705,SU178402,Департамент бизнес-приложений,,Группа аналитиков и консультантов по внедрению Big Data и BI,Консультант по внедрению бизнес-приложений,нет,"2 г., 10 мес.,26 дн.",Женский,25,2465,-48.0,44.0,2895.0
2706,SU199068,Департамент бизнес-приложений,,Группа аналитиков и консультантов по внедрению Big Data и BI,Стажер,нет,"0 г., 4 мес.,25 дн.",Женский,21,1165,-21.0,17.0,500.0
2707,SU143176,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа эксплуатации облачных сервисов,Менеджер эксплуатации,нет,"4 г., 3 мес.,30 дн.",Женский,26,1460,-46.0,6.0,5340.0
2708,SU167263,Финансовый департамент,,группа финансовых партнеров,Финансовый партнёр,нет,"3 г., 2 мес.,23 дн.",Женский,36,1020,251.0,5.0,420.0
2709,SU199597,Департамент бизнес-приложений,,группа консультантов по финансам,Консультант по внедрению бизнес-приложений,нет,"0 г., 2 мес.,6 дн.",Женский,37,1130,-54.0,13.0,1030.0
2710,SU197135,Департамент разработки программного обеспечения,Государственные информационные системы,финтех,Стажер,нет,"0 г., 8 мес.,29 дн.",Мужской,23,1070,-21.0,17.0,0.0
2711,SU199875,Служба охраны,,,Охранник,нет,"0 г., 0 мес.,31 дн.",Мужской,46,200,,1.0,0.0
2712,SU184617,Департамент маркетинга,группа контента,,Контент-маркетолог,нет,"2 г., 7 мес.,1 дн.",Женский,52,1900,-48.0,28.0,4300.0
2713,SU1916,Администрация,,,"Коммерческий директор, Заместитель  ген.директора, директор деп-та",нет,"32 г., 0 мес.,24 дн.",Мужской,59,200,280.0,1.0,0.0
2714,SU185872,Департамент телекоммуникаций,,группа унифицированных коммуникаций,Инженер-разработчик,нет,"2 г., 6 мес.,21 дн.",Женский,24,2005,-53.0,17.0,5680.0
2715,SU199473,Департамент инфраструктурных решений и сервисов,,группа инженеров поддержки инфраструктурного ПО,Стажер,нет,"0 г., 2 мес.,19 дн.",Мужской,21,1100,7.0,13.0,950.0
2716,SU199871,Департамент по работе с персоналом,отдел рекрутинга,,HR-менеджер,нет,"0 г., 0 мес.,25 дн.",Женский,24,350,280.0,3.0,480.0
2717,SU165728,Департамент разработки программного обеспечения,Корпоративные информационные системы,"Практика ""Медицинские информационные системы"".группа тех.поддержки",Инженер,нет,"3 г., 3 мес.,24 дн.",Мужской,26,0,,0.0,0.0
2718,SU1717,Департамент внутренней автоматизации,,группа разработки HR-tech решений,Ведущий инженер-разработчик,нет,"16 г., 10 мес.,29 дн.",Мужской,36,1485,-53.0,38.0,5090.0
2719,SU196344,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа поддержки и эксплуатации систем в ЦОД,Дежурный инженер ЦОД,нет,"1 г., 7 мес.,28 дн.",Мужской,22,350,70.0,2.0,0.0
2720,SU196702,Департамент разработки программного обеспечения,,группа системных инженеров,Системный инженер,нет,"1 г., 5 мес.,7 дн.",Мужской,21,3080,-53.0,54.0,4280.0
2721,SU181112,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа сопровождения ИТ-инфраструктур,Инженер,нет,"2 г., 8 мес.,30 дн.",Мужской,35,3550,-54.0,75.0,7000.0
2722,SU114850,Департамент продаж и менеджмента проектов,,группа продаж,Директор по комплексным продажам,ТЛ,"5 г., 6 мес.,10 дн.",Мужской,46,1600,,3.0,7400.0
2723,SU199092,Служба сопровождения проектной документации,,,Технический писатель,нет,"0 г., 4 мес.,22 дн.",Женский,26,2115,-54.0,69.0,1285.0
2724,SU166446,Департамент разработки программного обеспечения,"Практика ""Роботехника""",группа разработки робототехнических решений,Инженер-разработчик,нет,"3 г., 2 мес.,15 дн.",Женский,24,200,,1.0,5450.0
2725,SU79968,Департамент маркетинга,группа цифрового маркетинга,,Старший менеджер по цифровому маркетингу,нет,"9 г., 4 мес.,17 дн.",Женский,37,1055,-21.0,9.0,3480.0
2726,SU41872,Департамент бизнес-приложений,,группа консультантов по хранилищам данных и ETL,Эксперт,РМ,"13 г., 11 мес.,10 дн.",Мужской,37,550,-54.0,78.0,6660.0
2727,SU196986,Департамент инфраструктурных решений и сервисов,Информационная безопасность,Центр мониторинга безопасности,Аналитик SOC,нет,"1 г., 2 мес.,1 дн.",Мужской,24,1540,-54.0,20.0,400.0
2728,SU40629,Департамент внутренней автоматизации,,группа разработки инфраструктурных приложений,Ведущий инженер-разработчик,нет,"14 г., 2 мес.,13 дн.",Мужской,37,265,135.0,5.0,4300.0
2729,SU119671,Департамент инженерных и мультимедийных систем,группа инженеров по мультимедийным системам,,Ведущий инженер,нет,"5 г., 4 мес.,15 дн.",Женский,39,1650,-53.0,20.0,3760.0
2730,SU41695,Департамент телекоммуникаций,Сервис,группа технической поддержки телефонии и Call-центров,Ведущий инженер,нет,"13 г., 11 мес.,23 дн.",Мужской,49,2235,-49.0,25.0,11610.0
2731,SU199508,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа сопровождения ИТ-инфраструктур,Младший инженер,нет,"0 г., 2 мес.,26 дн.",Мужской,24,1105,,6.0,195.0
2732,SU112713,Департамент продаж и менеджмента проектов,,группа управления проектами и поддержки продаж,Менеджер проектов,нет,"5 г., 7 мес.,30 дн.",Мужской,30,1905,7.0,23.0,14050.0
2733,SU175548,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа развития бизнеса,Менеджер по работе с партнерами,нет,"2 г., 11 мес.,24 дн.",Женский,45,1300,-48.0,25.0,2415.0
2734,SU158758,Отдел дизайна,,,Старший дизайнер,нет,"3 г., 7 мес.,1 дн.",Женский,26,1420,-49.0,5.0,7145.0
2735,SU199594,Департамент телекоммуникаций,Сервис,Первая линия,Стажер,нет,"0 г., 1 мес.,21 дн.",Мужской,20,2175,-54.0,40.0,0.0
2736,SU166242,Департамент телекоммуникаций,Сервис,группа техподдержки сетей передачи данных,Системный инженер,нет,"3 г., 2 мес.,29 дн.",Мужской,30,430,,4.0,25.0
2737,SU93208,Департамент разработки программного обеспечения,Корпоративные информационные системы,"Практика ""Медицинские информационные системы"".группа тех.поддержки",Старший инженер технической поддержки,нет,"7 г., 3 мес.,14 дн.",Женский,30,0,,0.0,0.0
2738,SU1730,Административно-эксплуатационный департамент,Отдел по эксплуатации инженерных систем,,Старший техник,нет,"19 г., 10 мес.,24 дн.",Мужской,61,1025,-54.0,138.0,2200.0
2739,SU63956,Служба охраны,,Группа обеспечения контрольно-пропускного режима,Охранник,нет,"11 г., 8 мес.,7 дн.",Мужской,49,200,,1.0,1500.0
2740,SU197375,Департамент бизнес-приложений,,Группа аналитиков и консультантов по внедрению Big Data и BI,Младший консультант по внедрению бизнес-приложений,нет,"1 г., 1 мес.,25 дн.",Женский,22,2740,-54.0,67.0,4100.0
2741,SU175350,Департамент по работе с персоналом,отдел кадров,,HR-менеджер,нет,"3 г., 0 мес.,5 дн.",Женский,26,1645,38.0,33.0,6580.0
2742,SU129210,Департамент разработки программного обеспечения,Государственные информационные системы,росстат. группа аналитиков,Старший системный аналитик,нет,"5 г., 0 мес.,18 дн.",Мужской,42,560,-48.0,10.0,9100.0
2743,SU192,Департамент инженерных и мультимедийных систем,,монтажники,Монтажник,нет,"18 г., 5 мес.,6 дн.",Мужской,46,200,,1.0,0.0
2744,SU2723,Служба охраны,,Группа обслуживания бизнеса,Ответственный за общие вопросы и объекты,нет,"25 г., 2 мес.,5 дн.",Мужской,69,750,,2.0,3500.0
2745,SU863,Департамент телекоммуникаций,,Группа поддержки продаж сетевых решений,Менеджер по работе с партнерами,нет,"16 г., 3 мес.,3 дн.",Женский,39,200,,1.0,6400.0
2746,SU160454,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа разработчиков,Старший инженер-разработчик,нет,"3 г., 7 мес.,8 дн.",Мужской,26,1600,-47.0,10.0,5775.0
2747,SU199586,Департамент внутренней автоматизации,,группа разработки HR-tech решений,Младший инженер-разработчик,нет,"0 г., 1 мес.,20 дн.",Мужской,24,205,160.0,2.0,0.0
2748,SU36783,Департамент инфраструктурных решений и сервисов,группа развития бизнеса,,"Руководитель направления ""Инфраструктурные решения""",нет,"14 г., 9 мес.,12 дн.",Мужской,37,2155,165.0,7.0,23270.0
2749,SU151661,Департамент разработки программного обеспечения,Управление контентом и документооборот,группа тестировщиков,Младший инженер-тестировщик,нет,"4 г., 1 мес.,4 дн.",Женский,25,200,,1.0,0.0
2750,SU45889,Департамент телекоммуникаций,Цифровое производство,группа инженеров цифрового производства,Старший инженер,нет,"13 г., 2 мес.,24 дн.",Мужской,42,1940,-46.0,57.0,10800.0
2751,SU198660,Департамент инфраструктурных решений и сервисов,группа технических менеджеров по программной инфраструктуре,,Технический менеджер,нет,"0 г., 6 мес.,10 дн.",Мужской,37,1600,-21.0,26.0,800.0
2752,SU93742,Департамент телекоммуникаций,,группа сетевых решений,Ведущий инженер,нет,"7 г., 1 мес.,27 дн.",Мужской,41,2015,-21.0,19.0,3000.0
2753,SU190634,Департамент разработки программного обеспечения,Государственные информационные системы,суды. группа аналитиков и внедренцев,Младший системный аналитик,нет,"2 г., 1 мес.,23 дн.",Женский,24,1870,7.0,22.0,6345.0
2754,SU140512,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа поддержки и эксплуатации систем в ЦОД,Старший инженер,нет,"4 г., 7 мес.,29 дн.",Мужской,27,1440,-49.0,7.0,1500.0
2755,SU196537,Департамент бизнес-приложений,,группа консультантов по финансам,Младший консультант по внедрению бизнес-приложений,нет,"1 г., 6 мес.,14 дн.",Мужской,22,1050,-19.0,33.0,3700.0
2756,SU160606,Департамент разработки программного обеспечения,"Практика ""Роботехника""",,Специалист,нет,"3 г., 7 мес.,6 дн.",Женский,33,0,,0.0,0.0
2757,SU120889,Департамент продаж и менеджмента проектов,,группа управления проектами по вычислительной инфраструктуре ЦОД,Менеджер проектов,нет,"5 г., 3 мес.,17 дн.",Женский,33,1115,-21.0,63.0,9370.0
2758,SU198842,Департамент инфраструктурных решений и сервисов,группа развития направления “Управление ИТ-процессами”,,Менеджер по продвижению решений,нет,"0 г., 5 мес.,28 дн.",Мужской,43,780,-21.0,81.0,0.0
2759,SU36043,Департамент телекоммуникаций,,группа сетевых решений,Руководитель группы,РМ,"12 г., 11 мес.,26 дн.",Мужской,39,1320,-53.0,7.0,10760.0
2760,SU80608,Финансовый департамент,,отдел учета товаров и взаиморасчетов с поставщиками,Старший бухгалтер,нет,"9 г., 3 мес.,13 дн.",Женский,30,2000,-50.0,19.0,815.0
2761,SU90355,Департамент внутренней автоматизации,,группа аналитиков,Ведущий системный аналитик,нет,"7 г., 10 мес.,16 дн.",Женский,33,1445,-48.0,13.0,12460.0
2762,SU162085,Департамент избирательных технологий,,,Заместитель директора департамента по общим вопросам,нет,"3 г., 6 мес.,15 дн.",Мужской,65,200,12.0,1.0,0.0
2763,SU199775,Административно-эксплуатационный департамент,Административный отдел,секретариат,Секретарь-референт,нет,"0 г., 1 мес.,14 дн.",Женский,21,265,-24.0,5.0,0.0
2764,SU148060,Департамент телекоммуникаций,Сервис,группа техподдержки сетей передачи данных,Инженер,нет,"4 г., 2 мес.,22 дн.",Мужской,23,8180,-53.0,67.0,10140.0
2765,SU196754,Департамент инженерных и мультимедийных систем,Группа СКС и Автоматизации инженерных систем,,Инженер,нет,"1 г., 4 мес.,12 дн.",Мужской,34,1125,249.0,10.0,0.0
2766,SU93960,Департамент разработки программного обеспечения,Государственные информационные системы,росстат. группа внедренцев,Старший консультант по внедрению,нет,"7 г., 0 мес.,29 дн.",Мужской,33,2070,-48.0,28.0,8480.0
2767,SU3535,Департамент телекоммуникаций,Сервис,группа техподдержки сетей передачи данных,Руководитель группы,РМ,"18 г., 7 мес.,2 дн.",Мужской,40,5170,-48.0,29.0,14980.0
2768,SU196930,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа разработки,Младший инженер-разработчик,нет,"1 г., 3 мес.,28 дн.",Мужской,22,950,-48.0,15.0,1950.0
2769,SU81405,Департамент инфраструктурных решений и сервисов,группа инженеров по вычислительной инфраструктуре,,Старший инженер,нет,"9 г., 2 мес.,1 дн.",Мужской,29,2950,-21.0,31.0,4530.0
2770,SU177878,Департамент бизнес-приложений,,Группа разработки по Data и DWH,Инженер-разработчик бизнес-приложений,нет,"2 г., 11 мес.,3 дн.",Мужской,27,1170,-21.0,16.0,460.0
2771,SU528,Департамент телекоммуникаций,Сервис,Первая линия,Руководитель группы,РМ,"17 г., 6 мес.,15 дн.",Женский,40,410,12.0,4.0,16780.0
2772,SU197776,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа инженеров технической поддержки,Младший инженер технической поддержки,нет,"0 г., 11 мес.,25 дн.",Женский,22,2115,-48.0,33.0,130.0
2773,SU199867,Департамент по работе с персоналом,,HR-партнеры,HR-партнер,нет,"0 г., 1 мес.,2 дн.",Женский,35,250,,2.0,0.0
2774,SU195099,Департамент продаж и менеджмента проектов,,группа администраторов BackOffice,Младший администратор проектов,нет,"1 г., 10 мес.,27 дн.",Женский,24,315,-47.0,34.0,600.0
2775,SU87027,Департамент по работе с персоналом,,отдел обучения,Ведущий менеджер по корпоративному обучению,нет,"8 г., 4 мес.,29 дн.",Женский,31,200,,1.0,3800.0
2776,SU189733,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа эксплуатации облачных сервисов,Дежурный инженер,нет,"2 г., 2 мес.,14 дн.",Женский,22,1800,251.0,4.0,3325.0
2777,SU86976,Департамент разработки программного обеспечения,,группа системных инженеров,Старший системный инженер,нет,"8 г., 4 мес.,24 дн.",Мужской,41,1970,-21.0,23.0,4760.0
2778,SU79421,Департамент разработки программного обеспечения,Государственные информационные системы,суды. группа разработчиков,Ведущий инженер-разработчик,нет,"9 г., 6 мес.,5 дн.",Мужской,29,1750,130.0,10.0,6750.0
